frame_count,yolo_id,track_id,x,y,color,object_type
0,0,1,138,871,blue,Player
0,1,2,1070,783,blue,Player
0,2,3,463,834,blue,Player
0,3,4,2768,1013,blue,Player
0,4,5,1218,881,blue,Player
0,5,6,26,931,blue,Player
0,6,7,1525,801,blue,Player
0,7,8,1285,774,blue,Player
0,8,9,184,806,blue,Player
0,10,11,1767,856,blue,Player
0,11,12,547,754,blue,Player
0,12,13,1227,781,blue,Player
0,13,14,1246,725,blue,Player
0,14,15,1538,748,blue,Player
0,15,16,1530,762,blue,Player
0,16,17,1682,1067,blue,Player
0,17,18,1663,1108,blue,Player
0,9,18,234,870,yellow,Referee
1,0,2,1076,784,blue,Player
1,1,4,2780,1015,blue,Player
1,2,1,146,870,blue,Player
1,3,9,192,805,blue,Player
1,4,11,1775,856,blue,Player
1,5,7,1534,801,blue,Player
1,6,12,554,755,blue,Player
1,7,6,34,933,blue,Player
1,9,5,1226,882,blue,Player
1,10,13,1234,780,blue,Player
1,11,3,469,835,blue,Player
1,12,8,1287,758,blue,Player
1,13,14,1242,728,blue,Player
1,8,14,242,871,yellow,Referee
2,0,2,1076,784,blue,Player
2,1,4,2780,1015,blue,Player
2,2,1,146,870,blue,Player
2,3,9,192,805,blue,Player
2,4,11,1775,856,blue,Player
2,5,7,1534,802,blue,Player
2,6,12,554,755,blue,Player
2,7,6,34,933,blue,Player
2,9,5,1226,882,blue,Player
2,10,13,1234,780,blue,Player
2,11,3,469,835,blue,Player
2,12,8,1287,759,blue,Player
2,13,20,32,872,blue,Player
2,14,21,169,799,blue,Player
2,15,14,1242,727,blue,Player
2,16,19,469,804,blue,Player
2,8,19,242,871,yellow,Referee
3,0,4,2799,1021,blue,Player
3,1,3,482,837,blue,Player
3,2,6,43,933,blue,Player
3,4,2,1083,784,blue,Player
3,5,1,159,875,blue,Player
3,6,5,1236,887,blue,Player
3,7,11,1789,858,blue,Player
3,8,9,201,806,blue,Player
3,9,12,565,758,blue,Player
3,10,7,1543,803,blue,Player
3,11,20,41,867,blue,Player
3,12,13,1246,772,blue,Player
3,13,8,1286,755,blue,Player
3,14,14,1245,737,blue,Player
3,15,21,178,780,blue,Player
3,3,21,250,875,yellow,Referee
4,0,10,249,818,blue,Player
4,1,22,1301,789,blue,Player
5,0,28,542,848,blue,Player
5,1,27,1127,795,blue,Player
5,2,31,215,883,blue,Player
5,3,26,1298,901,blue,Player
5,4,30,1839,1127,blue,Player
5,5,10,252,819,blue,Player
5,6,25,1862,871,blue,Player
5,7,33,622,766,blue,Player
5,8,24,100,930,blue,Player
5,10,29,1612,769,blue,Player
5,11,22,1304,783,blue,Player
5,12,34,1364,790,blue,Player
5,13,36,1358,743,blue,Player
5,9,36,298,884,yellow,Referee
6,0,28,549,849,blue,Player
6,1,30,1853,1128,blue,Player
6,2,26,1305,902,blue,Player
6,3,27,1130,797,blue,Player
6,4,10,257,817,blue,Player
6,5,33,628,766,blue,Player
6,7,24,107,946,blue,Player
6,8,34,1375,791,blue,Player
6,9,31,222,886,blue,Player
6,10,22,1310,787,blue,Player
6,11,29,1619,765,blue,Player
6,6,29,303,883,yellow,Referee
7,0,28,555,851,blue,Player
7,1,26,1311,904,blue,Player
7,2,24,112,948,blue,Player
7,3,27,1136,800,blue,Player
7,4,31,225,885,blue,Player
7,5,34,1382,792,blue,Player
7,6,30,1867,1125,blue,Player
7,7,10,262,816,blue,Player
7,8,33,637,768,blue,Player
7,9,22,1320,785,blue,Player
7,11,29,1614,756,blue,Player
7,10,29,307,886,yellow,Referee
8,0,28,555,851,blue,Player
8,1,26,1311,904,blue,Player
8,2,24,112,948,blue,Player
8,3,27,1136,800,blue,Player
8,4,34,1382,792,blue,Player
8,5,31,225,884,blue,Player
8,6,41,1879,876,blue,Player
8,7,30,1867,1125,blue,Player
8,8,10,262,817,blue,Player
8,9,22,1320,785,blue,Player
8,10,33,637,768,blue,Player
8,11,40,1633,762,blue,Player
8,13,29,1614,756,blue,Player
8,12,29,307,886,yellow,Referee
9,0,27,1144,801,blue,Player
9,1,28,565,853,blue,Player
9,2,26,1320,909,blue,Player
9,4,41,1893,877,blue,Player
9,5,24,117,948,blue,Player
9,6,31,235,888,blue,Player
9,7,34,1392,793,blue,Player
9,8,10,272,822,blue,Player
9,9,40,1643,767,blue,Player
9,10,22,1328,787,blue,Player
9,3,22,317,887,yellow,Referee
10,0,27,1148,801,blue,Player
10,1,28,570,857,blue,Player
10,2,26,1326,912,blue,Player
10,3,41,1902,880,blue,Player
10,4,31,240,889,blue,Player
10,5,40,1644,776,blue,Player
10,7,24,125,951,blue,Player
10,8,34,1399,795,blue,Player
10,9,22,1335,788,blue,Player
10,10,42,127,886,blue,Player
10,11,10,277,822,blue,Player
10,12,43,285,1323,blue,Player
10,6,43,322,888,yellow,Referee
11,0,27,1150,804,blue,Player
11,1,41,1907,881,blue,Player
11,2,28,575,857,blue,Player
11,3,26,1327,914,blue,Player
11,4,24,128,951,blue,Player
11,5,31,244,880,blue,Player
11,7,22,1339,790,blue,Player
11,8,34,1403,799,blue,Player
11,9,40,1644,782,blue,Player
11,10,42,130,890,blue,Player
11,11,10,279,821,blue,Player
11,12,33,654,772,blue,Player
11,13,43,292,1332,blue,Player
11,6,43,325,889,yellow,Referee
12,0,27,1155,806,blue,Player
12,1,28,582,857,blue,Player
12,2,33,663,772,blue,Player
12,3,24,136,949,blue,Player
12,4,26,1330,915,blue,Player
12,5,41,1916,883,blue,Player
12,6,31,250,894,blue,Player
12,7,34,1411,800,blue,Player
12,8,22,1345,797,blue,Player
12,9,32,331,892,blue,Player
12,10,10,277,801,blue,Player
13,0,27,1160,806,blue,Player
13,1,24,141,955,blue,Player
13,2,40,1665,805,blue,Player
13,3,26,1337,915,blue,Player
13,4,41,1925,885,blue,Player
13,5,33,667,774,blue,Player
13,6,34,1418,802,blue,Player
13,7,22,1350,790,blue,Player
13,8,28,584,860,blue,Player
13,10,31,253,893,blue,Player
13,11,10,291,830,blue,Player
13,9,10,338,892,yellow,Referee
14,0,27,1164,809,blue,Player
14,1,24,144,956,blue,Player
14,2,40,1669,808,blue,Player
14,3,26,1340,916,blue,Player
14,4,41,1929,886,blue,Player
14,6,34,1422,801,blue,Player
14,7,28,586,860,blue,Player
14,8,31,258,895,blue,Player
14,9,33,670,774,blue,Player
14,10,22,1353,790,blue,Player
14,11,10,294,828,blue,Player
14,12,43,304,1327,blue,Player
14,5,43,341,892,yellow,Referee
15,0,27,1169,810,blue,Player
15,1,24,147,957,blue,Player
15,2,41,1938,888,blue,Player
15,3,40,1677,820,blue,Player
15,4,31,264,896,blue,Player
15,5,34,1427,804,blue,Player
15,6,26,1344,916,blue,Player
15,7,28,594,860,blue,Player
15,8,10,300,830,blue,Player
15,9,33,675,777,blue,Player
15,10,22,1361,789,blue,Player
15,12,48,597,820,blue,Player
15,13,43,309,1338,blue,Player
15,14,49,264,797,blue,Player
15,11,49,345,894,yellow,Referee
16,0,24,153,960,blue,Player
16,1,27,1173,812,blue,Player
16,2,31,268,897,blue,Player
16,4,28,603,862,blue,Player
16,5,34,1435,804,blue,Player
16,6,40,1684,827,blue,Player
16,7,26,1358,918,blue,Player
16,8,33,682,780,blue,Player
16,9,10,305,832,blue,Player
16,10,22,1365,793,blue,Player
16,11,50,1982,1146,blue,Player
16,12,41,1946,890,blue,Player
16,13,49,276,788,blue,Player
16,3,49,353,895,yellow,Referee
17,0,24,155,961,blue,Player
17,1,40,1688,832,blue,Player
17,2,27,1174,812,blue,Player
17,3,41,1949,892,blue,Player
17,4,31,271,897,blue,Player
17,6,28,605,864,blue,Player
17,7,26,1359,920,blue,Player
17,8,10,308,831,blue,Player
17,9,51,1355,852,blue,Player
17,10,34,1439,805,blue,Player
17,11,48,606,814,blue,Player
17,12,33,685,781,blue,Player
17,13,22,1369,791,blue,Player
17,14,50,1984,1149,blue,Player
17,5,50,356,895,yellow,Referee
18,0,27,1180,815,blue,Player
18,1,31,278,901,blue,Player
18,2,24,157,962,blue,Player
18,3,34,1444,806,blue,Player
18,4,41,1959,895,blue,Player
18,5,28,608,866,blue,Player
18,6,51,1356,853,blue,Player
18,7,10,312,833,blue,Player
18,8,48,613,806,blue,Player
18,9,50,2008,1145,blue,Player
18,10,22,1373,792,blue,Player
18,11,40,1696,836,blue,Player
18,12,33,692,783,blue,Player
18,13,26,1366,923,blue,Player
18,14,32,361,898,blue,Player
19,0,28,617,867,blue,Player
19,1,24,163,964,blue,Player
19,2,27,1183,815,blue,Player
19,3,34,1451,807,blue,Player
19,4,41,1967,897,blue,Player
19,5,40,1701,839,blue,Player
19,6,33,699,784,blue,Player
19,8,10,319,836,blue,Player
19,9,26,1370,925,blue,Player
19,10,22,1381,793,blue,Player
19,11,31,281,903,blue,Player
19,12,50,2025,1155,blue,Player
19,13,51,1365,851,blue,Player
19,7,51,368,900,yellow,Referee
20,0,24,167,965,blue,Player
20,1,27,1184,814,blue,Player
20,2,41,1972,897,blue,Player
20,3,34,1454,808,blue,Player
20,4,40,1701,838,blue,Player
20,5,28,617,868,blue,Player
20,7,10,321,836,blue,Player
20,8,50,2032,1156,blue,Player
20,9,22,1383,795,blue,Player
20,10,33,701,782,blue,Player
20,11,26,1373,925,blue,Player
20,12,31,282,902,blue,Player
20,13,48,625,810,blue,Player
20,14,51,1369,852,blue,Player
20,6,51,370,902,yellow,Referee
21,0,40,1704,841,blue,Player
21,1,10,325,837,blue,Player
21,2,27,1181,816,blue,Player
21,3,41,1980,898,blue,Player
21,4,28,622,870,blue,Player
21,5,24,173,965,blue,Player
21,7,31,289,903,blue,Player
21,8,26,1376,929,blue,Player
21,9,34,1458,808,blue,Player
21,10,33,706,783,blue,Player
21,11,22,1388,796,blue,Player
21,12,48,631,800,blue,Player
21,13,50,2050,1147,blue,Player
21,14,51,1371,872,blue,Player
21,6,51,378,903,yellow,Referee
22,0,24,177,967,blue,Player
22,1,41,1987,902,blue,Player
22,2,28,630,871,blue,Player
22,3,27,1181,818,blue,Player
22,5,31,295,906,blue,Player
22,6,10,331,837,blue,Player
22,7,26,1381,931,blue,Player
22,8,40,1718,844,blue,Player
22,9,22,1394,792,blue,Player
22,10,50,2060,1162,blue,Player
22,11,34,1466,811,blue,Player
22,12,49,296,803,blue,Player
22,13,33,712,782,blue,Player
22,4,33,385,904,yellow,Referee
23,0,10,335,839,blue,Player
23,1,24,178,967,blue,Player
23,2,28,633,872,blue,Player
23,3,41,1993,901,blue,Player
23,4,27,1186,817,blue,Player
23,5,26,1385,934,blue,Player
23,6,31,297,906,blue,Player
23,8,40,1722,843,blue,Player
23,9,22,1396,796,blue,Player
23,10,34,1470,811,blue,Player
23,11,50,2072,1154,blue,Player
23,12,48,635,848,blue,Player
23,13,49,299,821,blue,Player
23,14,60,1719,777,blue,Player
23,15,33,715,786,blue,Player
23,7,33,388,904,yellow,Referee
24,0,26,1394,934,blue,Player
24,2,24,183,969,blue,Player
24,3,41,2001,902,blue,Player
24,4,28,639,874,blue,Player
24,5,31,300,906,blue,Player
24,6,10,338,839,blue,Player
24,7,27,1189,823,blue,Player
24,8,34,1477,813,blue,Player
24,9,22,1404,810,blue,Player
24,10,60,1712,772,blue,Player
24,11,65,1459,757,blue,Player
24,12,48,640,818,blue,Player
24,13,49,308,808,blue,Player
24,14,50,2085,1164,blue,Player
24,1,50,394,908,yellow,Referee
25,1,27,1193,824,blue,Player
25,2,26,1401,936,blue,Player
25,3,28,643,875,blue,Player
25,4,41,2010,905,blue,Player
25,5,24,185,971,blue,Player
25,6,10,343,842,blue,Player
25,7,40,1737,842,blue,Player
25,8,31,306,909,blue,Player
25,9,34,1485,816,blue,Player
25,10,50,2102,1154,blue,Player
25,11,22,1409,804,blue,Player
25,12,65,1462,757,blue,Player
25,13,33,729,789,blue,Player
25,14,48,646,810,blue,Player
25,0,48,401,910,yellow,Referee
26,0,27,1195,825,blue,Player
26,2,40,1740,837,blue,Player
26,3,34,1489,820,blue,Player
26,4,24,190,971,blue,Player
26,5,10,346,841,blue,Player
26,6,28,647,876,blue,Player
26,7,31,309,909,blue,Player
26,8,68,192,936,blue,Player
26,9,33,731,790,blue,Player
26,10,22,1413,792,blue,Player
26,11,50,2100,1160,blue,Player
26,12,26,1403,937,blue,Player
26,13,48,649,809,blue,Player
26,14,49,316,814,blue,Player
26,15,65,1467,756,blue,Player
26,16,41,2013,906,blue,Player
26,1,41,403,911,yellow,Referee
27,0,27,1198,826,blue,Player
27,1,24,196,973,blue,Player
27,2,40,1745,832,blue,Player
27,3,31,314,911,blue,Player
27,4,26,1412,940,blue,Player
27,6,34,1496,820,blue,Player
27,7,28,651,879,blue,Player
27,8,48,653,813,blue,Player
27,9,10,352,842,blue,Player
27,10,22,1421,803,blue,Player
27,11,33,737,792,blue,Player
27,12,41,2021,906,blue,Player
27,13,73,2142,1169,blue,Player
27,14,50,2113,1174,blue,Player
27,15,51,1414,887,blue,Player
27,16,49,322,831,blue,Player
27,5,49,408,910,yellow,Referee
28,0,27,1203,828,blue,Player
28,1,24,201,978,blue,Player
28,2,26,1421,942,blue,Player
28,3,28,658,879,blue,Player
28,4,40,1753,823,blue,Player
28,5,34,1503,823,blue,Player
28,6,41,2029,909,blue,Player
28,8,33,744,793,blue,Player
28,9,31,318,913,blue,Player
28,10,22,1427,815,blue,Player
28,11,10,357,845,blue,Player
28,12,48,658,841,blue,Player
28,13,50,2133,1174,blue,Player
28,7,50,415,911,yellow,Referee
29,0,24,203,978,blue,Player
29,1,28,661,880,blue,Player
29,3,27,1205,830,blue,Player
29,4,41,2034,911,blue,Player
29,5,40,1758,821,blue,Player
29,6,50,2147,1175,blue,Player
29,7,31,322,914,blue,Player
29,8,34,1506,824,blue,Player
29,9,26,1423,942,blue,Player
29,10,33,747,793,blue,Player
29,11,22,1430,809,blue,Player
29,12,10,361,848,blue,Player
29,13,49,337,821,blue,Player
29,2,49,420,912,yellow,Referee
30,0,24,208,980,blue,Player
30,1,27,1211,831,blue,Player
30,2,28,666,881,blue,Player
30,3,41,2040,912,blue,Player
30,5,40,1760,810,blue,Player
30,6,31,327,915,blue,Player
30,7,10,364,848,blue,Player
30,8,26,1429,945,blue,Player
30,9,50,2165,1176,blue,Player
30,10,33,752,794,blue,Player
30,11,34,1510,823,blue,Player
30,12,22,1436,809,blue,Player
30,13,49,334,813,blue,Player
30,14,51,1432,903,blue,Player
30,4,51,427,914,yellow,Referee
31,0,27,1215,831,blue,Player
31,1,24,213,981,blue,Player
31,2,28,671,881,blue,Player
31,4,41,2048,915,blue,Player
31,5,10,370,848,blue,Player
31,6,40,1764,806,blue,Player
31,7,31,333,920,blue,Player
31,8,34,1516,826,blue,Player
31,9,26,1435,949,blue,Player
31,10,33,760,795,blue,Player
31,11,49,337,821,blue,Player
31,12,50,2186,1178,blue,Player
31,3,50,432,915,yellow,Referee
31,13,50,1758,768,yellow,Referee
32,0,27,1217,831,blue,Player
32,1,28,673,883,blue,Player
32,2,24,215,982,blue,Player
32,3,41,2051,916,blue,Player
32,5,31,336,920,blue,Player
32,6,40,1768,804,blue,Player
32,7,10,373,848,blue,Player
32,8,34,1517,826,blue,Player
32,9,33,763,797,blue,Player
32,10,22,1444,818,blue,Player
32,11,26,1439,948,blue,Player
32,12,49,341,816,blue,Player
32,13,50,2188,1176,blue,Player
32,4,50,435,917,yellow,Referee
32,14,50,1763,770,yellow,Referee
33,1,24,220,984,blue,Player
33,2,27,1222,832,blue,Player
33,3,33,770,798,blue,Player
33,4,41,2060,918,blue,Player
33,5,34,1525,828,blue,Player
33,6,28,679,886,blue,Player
33,7,10,379,851,blue,Player
33,8,26,1443,949,blue,Player
33,9,40,1778,801,blue,Player
33,10,31,342,921,blue,Player
33,11,22,1452,810,blue,Player
33,12,48,678,848,blue,Player
33,13,50,2205,1179,blue,Player
33,14,49,351,811,blue,Player
33,15,81,1766,779,blue,Player
33,0,81,440,919,yellow,Referee
34,0,24,225,985,blue,Player
34,2,26,1449,952,blue,Player
34,3,31,350,920,blue,Player
34,4,33,775,801,blue,Player
34,5,10,384,852,blue,Player
34,6,34,1532,828,blue,Player
34,7,41,2068,919,blue,Player
34,8,40,1785,803,blue,Player
34,9,28,684,887,blue,Player
34,10,22,1456,810,blue,Player
34,11,50,2220,1178,blue,Player
34,12,49,357,822,blue,Player
34,13,27,1223,834,blue,Player
34,14,48,682,837,blue,Player
34,15,81,1776,787,blue,Player
34,1,81,447,920,yellow,Referee
35,0,24,228,984,blue,Player
35,1,26,1453,954,blue,Player
35,3,10,388,854,blue,Player
35,4,33,779,800,blue,Player
35,5,31,350,922,blue,Player
35,6,41,2073,895,blue,Player
35,7,81,1784,806,blue,Player
35,8,34,1534,829,blue,Player
35,9,22,1459,817,blue,Player
35,10,28,686,889,blue,Player
35,11,48,685,838,blue,Player
35,12,49,357,820,blue,Player
35,13,50,2230,1181,blue,Player
35,2,50,449,921,yellow,Referee
35,2,1,449,921,yellow,Ball
36,0,24,233,986,blue,Player
36,2,41,2082,922,blue,Player
36,3,28,691,892,blue,Player
36,4,33,784,801,blue,Player
36,5,26,1459,955,blue,Player
36,6,31,354,924,blue,Player
36,7,34,1540,831,blue,Player
36,8,10,392,856,blue,Player
36,9,81,1792,816,blue,Player
36,10,22,1467,818,blue,Player
36,11,50,2246,1187,blue,Player
36,1,50,456,923,yellow,Referee
37,0,24,238,990,blue,Player
37,2,28,697,889,blue,Player
37,3,41,2090,923,blue,Player
37,4,26,1465,957,blue,Player
